Question,Focus (Drug),Question Type,Answer,Section Title,URL
how does rivatigmine and otc sleep medicine interact,rivastigmine,Interaction,"tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: antihistamines; aspirin and other nonsteroidal anti-inflammatory medications (NSAIDs) such as ibuprofen (Advil, Motrin) and naproxen (Aleve, Naprosyn); bethanechol (Duvoid, Urecholine); ipratropium (Atrovent, in Combivent, DuoNeb); and medications for Alzheimer's disease, glaucoma, irritable bowel disease, motion sickness, ulcers, or urinary problems. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.",What special precautions should I follow?,https://medlineplus.gov/druginfo/meds/a602009.html
how does valium affect the brain,Valium,Action,"Diazepam is a benzodiazepine that exerts anxiolytic, sedative, muscle-relaxant, anticonvulsant and amnestic effects. Most of these effects are thought to result from a facilitation of the action of gamma aminobutyric acid (GABA), an inhibitory neurotransmitter in the central nervous system.",CLINICAL PHARMACOLOGY,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=554baee5-b171-4452-a50a-41a0946f956c
what is morphine,morphine,Information,Morphine is a pain medication of the opiate family which is found naturally in a number of plants and animals.[5][7] It acts directly on the central nervous system (CNS) to decrease the feeling of pain.,,https://en.wikipedia.org/wiki/Morphine
what are the milligrams for oxycodone e,oxycodone ER,Dose,… 10 mg … 20 mg … 40 mg … 80 mg ...,HOW SUPPLIED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f06d3690-3fd4-407d-8f8d-ab0c354e61bd
81% aspirin contain resin and shellac in it. ?,aspirin 81 mg,Ingredient,Inactive Ingredients  Ingredient Name,INGREDIENTS AND APPEARANCE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2c75dadc-a7d3-0b6a-e054-00144ff8d46c
what is desonide ointment used for,desonide ointment,Indication,"Desonide is used to treat the redness, swelling, itching, and discomfort of various skin conditions, including psoriasis (a skin disease in which red, scaly patches form on some areas of the body and eczema (a skin disease that causes the skin to be dry and itchy and to sometimes develop red, scaly rashes).",Why is this medication prescribed?,https://medlineplus.gov/druginfo/meds/a605025.html
how soon can tylenol be taken after a cocktail?,Tylenol,Interaction,"According to the National Health Service (NHS) in the UK, it is usually safe to drink a small amount of alcohol while taking this pain reliever. ... However, when people take acetaminophen at high doses or together with alcohol, it can cause side effects ranging from minor to severe, with the possibility of fatal liver damage. This risk may be higher for people with alcohol use disorder (AUD), which was previously known as alcoholism.... According to the U.S. National Library of Medicine, taking acetaminophen can be dangerous for people who regularly drink alcohol. Manufacturers currently recommend that people who have more than 3 alcoholic drinks per day should ask their doctor before taking acetaminophen.",,https://www.medicalnewstoday.com/articles/322813.php
breo inhaler how it works,Breo inhaler,Action,"The combination of fluticasone and vilanterol is used to control wheezing, shortness of breath, coughing, and chest tightness caused by asthma and chronic obstructive pulmonary (COPD; a group of diseases that affect the lungs and airways, that includes chronic bronchitis and emphysema). Fluticasone is in a class of medications called steroids. It works by reducing swelling in the airways. Vilanterol is in a class of medications called long-acting beta-agonists (LABAs). It works by relaxing and opening air passages in the lungs, making it easier to breathe.",Why is this medication prescribed?,https://medlineplus.gov/druginfo/meds/a613037.html
breo inhaler how it works,Breo inhaler,Usage,"To use the inhaler, follow these steps:
	1	If you will be using a new inhaler for the first time, remove it from the box and the foil wrapper. Fill in the ""Tray opened"" and ""Discard"" blanks on the inhaler label with the date that you opened the pouch and the date 6 weeks later when you must replace the inhaler.
	2	When you are ready to inhale your dose, slide the cover down to expose the mouthpiece until it clicks. If you open and close the inhaler without using your dose, you will waste the medication.
	3	The counter will count down by 1 each time you open the cover. If the counter does not count down, your inhaler will not provide the medicine. If your inhaler does not count down, call your pharmacist or doctor.
	4	Hold the inhaler away from your mouth and breathe out as far as you comfortably can. Do not breathe out into the mouthpiece.
	5	Put the mouthpiece between your lips, and close your lips firmly around it. Take a long, steady, deep breath in through your mouth. Do not breathe in through your nose. Be careful not block the air vent with your fingers.
	6	Remove the inhaler from your mouth, and hold your breath for about 3 to 4 seconds or as long as you comfortably can. Breathe out slowly.
	7	You may or may not taste or feel the medicine released by the inhaler. Even if you do not, do not inhale another dose. If you are not sure you are getting your dose of fluticasone and vilanterol, call your doctor or pharmacist.
	8	You may clean the mouthpiece with a dry tissue, if needed. Slide the cover up over the mouthpiece as far as it will go to close the inhaler.
	9	Rinse your mouth with water, but do not swallow.
Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.",How should this medicine be used?,https://medlineplus.gov/druginfo/meds/a613037.html
qvar 40mg what is it for,Qvar,Indication,"QVAR is indicated in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older. QVAR is also indicated for asthma patients who require systemic corticosteroid administration, where adding QVAR may reduce or eliminate the need for the systemic corticosteroids.",INDICATIONS AND USAGE,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=20682605-557b-4586-9d98-829a63091ddf
