question,reference_answer,distilbert_answer,t5_answer
what is zostavax for?- consider waiting for a new vaccine coming spring of 2018,ZOSTAVAX® is a live attenuated virus vaccine indicated for prevention of herpes zoster (shingles) in individuals 50 years of age and older. Limitations of Use of ZOSTAVAX:    ZOSTAVAX is not indicated for the treatment of zoster or postherpetic neuralgia (PHN).    ZOSTAVAX is not indicated for prevention of primary varicella infection (Chickenpox).,No reliable answer found.,Zostavax is a vaccine that protects against shingles and other types of shingles. It works by preventing the spread of shingles and other types of shingles.
"show spironolactone 30mg ""tab/accord"" healthcare","Spironolactone oral tablets contain 25 mg, 50 mg, or 100 mg of the aldosterone antagonist spironolactone",No reliable answer found.,"Spironolactone Tablets, USP are indicated for the treatment of chronic bronchial asthma (bronchial asthma) in adults 65 years of age and older."
where is tetracycline metabolized?,"The majority of first-generation tetracyclines are not metabolized (though 5 % of tetracycline is metabolized to a less active metabolite). Instead, they are most often eliminated by renal excretion. Second-generation tetracyclines are 3 to 5 times more lipophilic, which enhances their tissue penetration. Doxycycline, the most common member of this group, features more than 80 % bioavailability. Bile concentration of doxycycline is 10 to 25 times higher as compared with its serum concentration. High concentrations of doxycycline are found also in kidneys, liver and bowel. Primarily, doxycycline is excreted in bile to feces. Part of doxycycline is inactivated in the liver and 40 % of it is excreted by kidneys in urine.",Tetracyclines are readily absorbed and are bound to plasma proteins in varying degrees. They are concentrated by the liver in the bile and excreted in the urine and feces at high concentrations in a biologically active form.,Tetracycline is metabolized in the urine.
is lasix the only diuretic drug for fluid build up in heart failure patients?,"Commonly prescribed include: Furosemide (Lasix), Bumetanide (Bumex), Torsemide (Demadex), Chlorothiazide (Diuril), Amiloride (Midamor Chlorthalidone (Hygroton), Hydrochlorothiazide or HCTZ (Esidrix, Hydrodiuril), Indapamide (Lozol), Metolazone (Zaroxolyn), Triamterene (Dyrenium). What this type of medication does:  Causes the body to rid itself of excess fluids and sodium through urination. Helps to relieve the heart's workload. Also decreases the buildup of fluid in the lungs and other parts of the body, such as the ankles and legs. Different diuretics remove fluid at varied rates and through different methods.",No reliable answer found.,Lasix is the only diuretic drug in a class of medications called diuretics. It works by decreasing the amount of water in the blood and reducing the amount of sodium in the urine.
how do steroids effect the digestive system,"teroid abuse can also be hepatotoxic, promoting disturbances such as biliary stasis, peliosis hepatis, and even hepatomas, which are all usually reversible upon discontinuation.","Corticosteroid use was associated with increased risk of gastrointestinal bleeding and perforation. The increased risk was statistically significant for hospitalised patients only. For patients in ambulatory care, the total occurrence of bleeding or perforation was very low, and the increased risk was not statistically significant.","The effects of steroids on the digestive system are similar to those of steroid injections. Steroid injections are used to treat a variety of conditions in the digestive system, including irritated or irritated bowels, indigestion, bloating, and diarrhea. Steroid injections are also used to treat certain types of cancer."
what medicines raise blood sugar,"Some medicines for conditions other than diabetes can raise your blood sugar level. This is a concern when you have diabetes. Make sure every doctor you see knows about all of the medicines, vitamins, or herbal supplements you take. This means anything you take with or without a prescription.

Examples include:

Barbiturates.
Thiazide diuretics.
Corticosteroids.
Birth control pills (oral contraceptives) and progesterone.
Catecholamines.
Decongestants that contain beta-adrenergic agents, such as pseudoephedrine.
The B vitamin niacin. The risk of high blood sugar from niacin lowers after you have taken it for a few months.
The antipsychotic medicine olanzapine (Zyprexa).",No reliable answer found.,"Blood sugar levels can be increased by medications such as insulin, glucocorticosteroids, and glucocorticoids."
what is xifaxan used for,"XIFAXAN is indicated for the treatment of travelers’ diarrhea (TD) caused by noninvasive strains of Escherichia coli in adults and pediatric patients 12 years of age and older.
XIFAXAN is indicated for reduction in risk of overt hepatic encephalopathy (HE) recurrence in adults.
XIFAXAN is indicated for the treatment of irritable bowel syndrome with diarrhea (IBS-D) in adults.",No reliable answer found.,"Xifaxan is used to treat a variety of conditions, including rheumatoid arthritis, rheumatoid arthritis, rheumatoid arthritis, rheumatoid arthritis, rheumatoid arthritis, and rheumatoid arthritis."
how often should you get a zoster vaccine,"The Centers for Disease Control and Prevention recommends that healthy adults 50 years and older get the Shingrix vaccine. You need two doses of the vaccine, given 2 to 6 months apart. Another vaccine, Zostavax, may be used in certain cases.","The Centers for Disease Control and Prevention recommends that healthy adults 50 years and older get the Shingrix vaccine. You need two doses of the vaccine, given 2 to 6 months apart. Another vaccine, Zostavax, may be used in certain cases.",Zostavax is recommended for people 65 years of age and older. It is also recommended for people 65 years of age and older who have not previously received the vaccine.
what dosage amounts does aripiprazole,"The recommended starting and target dose for aripiprazole is 10 mg/day or 15 mg/day administered on a once-a-day schedule without regard to meals. Aripiprazole has been systematically evaluated and shown to be effective in a dose range of 10 mg/day to 30 mg/day, when administered as the tablet formulation; however, doses higher than 10 mg/day or 15 mg/day were not more effective than 10 mg/day or 15 mg/day.",No reliable answer found.,Aripiprazole is in a class of medications called anticonvulsants. It works by decreasing the amount of carbon dioxide in the blood and reducing the amount of carbon dioxide in the urine.
how to take your medicine diabetes,"The medicine you take will vary by your type of diabetes and how well the medicine controls your blood glucose levels, also called blood sugar. Other factors, such as your other health conditions, medication costs, and your daily schedule may play a role in what diabetes medicine you take.",No reliable answer found.,Diarrhea is a condition in which the blood sugar levels in your blood are abnormally low. Diarrhea is a condition in which the blood sugar levels in your blood are abnormally low. Diarrhea is a condition in which the blood sugar levels in your blood are abnormally low. Diarrhea is a condition in which the blood sugar levels in your blood are abnormally low. Diarrhea is a condition in which the blood sugar levels in your blood are abnormally low. Diarrhea is a condition in which the
tranexamic acid how fast does it work,"After a single oral administration of two 650 mg tablets of tranexamic acid, the peak plasma concentration (Cmax) occurred at approximately 3 hours (Tmax). The absolute bioavailability of tranexamic acid tablets in women aged 18-49 is approximately 45%. Following multiple oral doses (two 650 mg tablets three times daily) administration of tranexamic acid tablets for 5 days, the mean Cmax increased by approximately 19% and the mean area under the plasma concentration-time curve (AUC) remained unchanged, compared to a single oral dose administration (two 650 mg tablets). Plasma concentrations reached steady state at the 5th dose of tranexamic acid tablets on Day 2.",No reliable answer found.,Tranexamic acid works by changing the amount of tranexamic acid in your blood. It works by changing the amount of tranexamic acid in your urine.
shingles sq (zostavax) i have to take again ?,"Zostavax is approved by the Food and Drug Administration for people aged 50 years and older. However, CDC does not have a recommendation for routine use of Zostavax in people 50 through 59 years old. Protection from this shingles vaccine lasts about 5 years, so adults vaccinated before they are 60 years old might not be protected later in life when the risk for shingles and its complications are greatest. Adults 50 through 59 years who have questions about shingles vaccine should discuss the risks and benefits with a healthcare provider.",No reliable answer found.,Zostavax (Zostavax) is indicated for the treatment of shingles (shingles zostavax). Zostavax (Zostavax) is indicated for the treatment of shingles (shingles zostavax). Zostavax (Zostavax) is indicated for the treatment of shingles (shingles zostavax).
what are the different strenths of dexamethasone?,"Dexamethasone Tablets 0.5, 0.75, 1, 1.5, 2, 4 and 6 mg USP, Dexamethasone Oral Solution, 0.5 mg per 5 mL and Dexamethasone Intensol™ Oral Solution (Concentrate), 1 mg per mL are for oral administration.",No reliable answer found.,Dexamethasone is in a class of medications called anticonvulsants. It works by decreasing the amount of carbon dioxide in the blood.
how long does it take cefuroxime axetil to work,"You should begin to feel better during the first few days of treatment with cefuroxime. If your symptoms do not improve or get worse, call your doctor. Take cefuroxime until you finish the prescription, even if you feel better. If you stop taking cefuroxime too soon or skip doses, your infection may not be completely treated, and the bacteria may become resistant to antibiotics.",No reliable answer found.,Cefuroxime axetil is in a class of medications called opioids. It works by decreasing the amount of opioids in the brain.
what class is diazepam,"Diazepam is a benzodiazepine that exerts anxiolytic, sedative, muscle-relaxant, anticonvulsant and amnestic effects.",No reliable answer found.,Diazepam is in a class of medications called anticonvulsants. Diazepam is in a class of medications called anticonvulsants. It works by changing the way the brain works.
why did my doctor give me levetiracetam what is use for,Levetiracetam Extended-release Tablets is indicated as adjunctive therapy in the treatment of partial onset seizures in patients 12 years of age and older with epilepsy.,Levetiracetam Extended-release Tablets is indicated as adjunctive therapy in the treatment of partial onset seizures in patients 12 years of age and older with epilepsy.,"Levetiracetam is used to treat a variety of conditions, including rheumatoid arthritis (arthritis caused by inflammation of the lining of the joints), rheumatoid arthritis (arthritis caused by inflammation of the lining of the joints), rheumatoid arthritis (arthritis caused by inflammation of the lining of the joints), rheumatoid arthritis (arthritis caused by inflammation of the lining of the joints), rheumatoid arthritis (arthritis caused by"
what is the class for insulin glargine?,DEA Schedule: None,No reliable answer found.,Insulin glargine is a class of medications used to treat a variety of conditions. Insulin glargine is in a class of medications called glucagonoids. It works by decreasing the amount of glucose in the blood. It works by decreasing the amount of glucose in the blood.
can alprazolam lower blood pressure?,Alprazolam is as effective as captopril in lowering BP in ED patients with an initial SBP > 160 mmHg.,No reliable answer found.,Alprazolam is indicated for the treatment of hypertension and for the prevention of heart attack and stroke.
what is the classification of cromolyn,DEA Schedule: None,No reliable answer found.,"Cromolyn is a genus of fungi in the genus ""Cromolyn"". It is classified as a genus of fungi in the genus ""Cromolyn""."
what are the side effects and long term consequences of using nicotine,"Nicotine use can have many different effects on the body. It can:

Decrease the appetite -- Fear of weight gain makes some people unwilling to stop smoking.
Boost mood, give people a sense of well-being, and possibly even relieve minor depression.
Increase activity in the intestines.
Create more saliva and phlegm.
Increase the heart rate by around 10 to 20 beats per minute.
Increase blood pressure by 5 to 10 mm Hg.
Possibly cause sweating, nausea, and diarrhea.
Stimulate memory and alertness -- People who use tobacco often depend on it to help them accomplish certain tasks and perform well.","Tobacco and related chemicals can increase your risk of serious health problems such as cancer, lung disease, and heart attack.","Nicotine use can lead to serious health problems such as heart attack, stroke, and death. Nicotine use can also lead to a reduction in the amount of nicotine in your blood. Nicotine use can also lead to heart attack, stroke, and death."
what is medical marijuana,"Some states have approved ""medical marijuana"" to ease symptoms of various health problems. The U.S. Food and Drug Administration (FDA) has not approved the marijuana plant as a medicine. However, there have been scientific studies of cannabinoids, the chemicals in marijuana. This has led to two FDA-approved medicines. They contain THC, the active ingredient in marijuana. They treat nausea caused by chemotherapy and increase appetite in patients who have severe weight loss from HIV/AIDS. Scientists are doing more research with marijuana and its ingredients to treat many diseases and conditions.","Marijuana is a green, brown, or gray mix of dried, crumbled parts from the marijuana plant.","Marijuana is a weed grown in the wild in the United States. Marijuana is used to treat a variety of illnesses and conditions. Marijuana is grown in a variety of ways, including in the medical marijuana plant. Marijuana is grown in a variety of ways, including in the medical marijuana plant. Marijuana is grown in a variety of ways, including in the medical marijuana plant. Marijuana is grown in a variety of ways, including in the medical marijuana plant. Marijuana is grown in a variety of ways,"
what is coumadin,"COUMADIN (warfarin sodium) tablets contain warfarin sodium, an anticoagulant that acts by inhibiting vitamin K‑dependent coagulation factors. The chemical name of warfarin sodium is 3-(α-acetonylbenzyl)-4-hydroxycoumarin sodium salt, which is a racemic mixture of the R- and S-enantiomers. ",No reliable answer found.,"Coumadin is a glucocorticosteroid medication used to treat a variety of conditions, including rheumatoid arthritis (arthritis caused by inflammation of the lining of the joints)."
"why no side affects on hydromorphone listed, yet on reg inet they have a list?",Hydromorphone may cause side effects.,No reliable answer found.,Hydromorphone should not be used in children younger than 6 months of age. It should be used only as directed by your doctor.
how does spiriva work,Tiotropium is in a class of medications called bronchodilators. It works by relaxing and opening the air passages to the lungs to make breathing easier.,"For oral inhalation only. Do not swallow SPIRIVA capsules, as the intended effects on the lungs will not be obtained. The contents of the SPIRIVA capsules should only be used with the HANDIHALER device ",Spiriva works by changing the amount of spiriva in the bloodstream.
when does skin redness start on fluorouracil,"When Fluorouracil 5% Topical Cream is applied to a lesion, a response occurs with the following sequence: erythema, usually followed by vesiculation, desquamation, erosion and reepithelialization.",No reliable answer found.,"Fluorouracil is used to treat a variety of skin conditions, including rheumatoid arthritis, rheumatoid arthritis, rheumatoid arthritis, rheumatoid arthritis, rheumatoid arthritis, rheumatoid arthritis, rheumatoid arthritis, and rheumatoid arthritis."
how long does oxycontin stay in the urine,No answers,No reliable answer found.,Oxycontin stays in the urine for up to 24 hours.
how does it take for strattera to begin to show some improvement,"Some people report small changes in hyperactivity and impulse control within two weeks, but it may take 4 to 8 weeks for the drug to achieve maximum effectiveness.",No reliable answer found.,"When strattera begins to show signs of improvement, it may take a few weeks for the symptoms to disappear."
what types of steroids shots are there,"Steroids are often injected directly into joints to treat conditions such as rheumatoid arthritis, gout or other inflammatory diseases. Steroids can also be injected into inflamed bursae (bursitis), or around inflamed tendons (tendinitis) near the shoulder, elbow, hip, knee, hand or wrist.",No reliable answer found.,The most common types of steroids are corticosteroids (corticosteroids) and steroid hormones (steroid hormones). The most common types of steroids are corticosteroids (corticosteroids).
how much weight gain with carvedilol,"Newer beta blockers, such as carvedilol (Coreg), don't usually cause weight gain as a side effect. Weight may rise in the first weeks of taking the beta blocker and then generally stabilizes.",No reliable answer found.,"Carveilol is used to treat a variety of conditions, including chronic obstructive pulmonary disease (COPD). Carveilol is in a class of medications called anticonvulsants. Carveilol is in a class of medications called anticonvulsants. It works by decreasing the amount of carbon dioxide in the bloodstream."
what is nano silver?,"Silver nanoparticles are added to a variety of textiles and home goods as an antimicrobial. Although silver has been used safely for centuries, some question whether the rapid expansion of new exposure sources to nanosilver could have adverse consequences.",No reliable answer found.,"NanoSilver is a non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable, non-renewable,"
what is classed as a low dose of azathioprine,approximately 1 mg/kg (50 to 100 mg) given as a single dose or on a twice-daily schedule,No reliable answer found.,Low doses of azathioprine are usually given as a single dose or as a combination of two doses.
what to use with someone in place of morphine or iodine allergies,"There are a lot of medications available for pain control that are not opioids,” says Dr. Soto, who’s also president of the Michigan Society of Anesthesiologists. Here are several examples:","Unfortunately, the amount of iodine in a food isn’t on a food label. It’s not in books or on many web
sites that list nutrients either. So you can’t easily track iodine like some people track calories or grams
of fat. Instead, you need to know which foods and ingredients to avoid.","Morphine and iodine may be used together with other medications to treat a variety of conditions, including rheumatoid arthritis (arthritis caused by a breakdown of the lining of the joints)."
what time should take memantine,"Memantine comes as a tablet, a solution (liquid), and an extended-release (long-acting) capsule to take by mouth. The solution and tablet are usually taken once or twice a day with or without food. The capsule is taken once a day with or without food.",No reliable answer found.,Memantine should be taken once daily with or without food. Memantine should be taken once daily with or without food.
fluoxetine what mgs are available,"20 mg, Capsule is a Dark blue opaque cap and Light blue opaque body, imprinted with “20” on the cap and “A106” on the body.

40 mg, Capsule is a Light blue opaque cap and Light blue opaque body, imprinted with “40” on the cap and “A107” on the body.",No reliable answer found.,Fluoxetine is available as a tablet or capsule. Fluoxetine is available as a tablet or capsule. Fluoxetine is available as a tablet or capsule. Fluoxetine is available as a tablet or capsule.
what are beta blockers,"Beta blockers, also known as beta-adrenergic blocking agents, are medications that reduce your blood pressure. Beta blockers work by blocking the effects of the hormone epinephrine, also known as adrenaline.","Beta blockers, also known as beta-adrenergic blocking agents, are medications that reduce your blood pressure. Beta blockers work by blocking the effects of the hormone epinephrine, also known as adrenaline.

When you take beta blockers, your heart beats more slowly and with less force, thereby reducing blood pressure. Beta blockers also help blood vessels open up to improve blood flow.

Some beta blockers mainly affect your heart, while others affect both your heart and your blood vessels. Which one is best for you depends on your health and the condition being treated.","Beta blockers, also known as beta-adrenergic blockers, are medications that block the effects of certain substances in your blood. Beta blockers work by blocking the effects of certain substances in your blood. Beta blockers work by blocking the effects of certain substances in your blood. Beta blockers work by blocking the effects of certain substances in your blood."
how does amxacillin clavulanic acid work,"The combination of amoxicillin and clavulanic acid is used to treat certain infections caused by bacteria, including infections of the ears, lungs, sinus, skin, and urinary tract. Amoxicillin is in a class of medications called penicillin-like antibiotics. It works by stopping the growth of bacteria. Clavulanic acid is in a class of medications called beta-lactamase inhibitors. It works by preventing bacteria from destroying amoxicillin.",No reliable answer found.,Amxacillin clavulanic acid works by reducing the amount of amxacillin in the bloodstream.
what is the difference between atorvastatin and lipitor,"LIPITOR ® (atorvastatin calcium) tablets, for oral use",No reliable answer found.,"Unlike other atorvastatins, atorvastatin is not a substitute for other medications. It is used to treat a variety of conditions, including rheumatoid arthritis (arthritis caused by a breakdown of the lining of the lining of the joints)."
what is the reason for having to use heparin after a antibodies fusion,"Heparin Lock Flush Solution, USP is intended to maintain patency of an indwelling venipuncture device designed for intermittent injection or infusion therapy or blood sampling.",No reliable answer found.,The use of heparin in the treatment of hepatitis B virus (TBV) is a common cause of hepatitis B virus (TBV) infection. The use of heparin in the treatment of TBV is a common cause of hepatitis B virus infection.
what is divalproex,Divalproex sodium USP is a stable co-ordination compound comprised of sodium valproate and valproic acid in a 1:1 molar relationship and formed during the partial neutralization of valproic acid with 0.5 equivalent of sodium hydroxide. Chemically it is designated as sodium hydrogen bis(2-propylpentanoate).,No reliable answer found.,Divalprox is a benzodiazepine that is used to treat a variety of conditions. Divalprox is a benzodiazepine that is used to treat a variety of conditions. Divalprox is a benzodiazepine that is used to treat a variety of conditions. Divalprox is a benzodiazepine that is used to treat a variety of conditions. Divalprox is a benzodiazepine that is used to treat a variety of conditions.
how long can megestrol be taken?,At least 2 months of continuous treatment is considered an adequate period for determining the efficacy of megestrol acetate.,No reliable answer found.,Megestrol is indicated for use in adults 65 years or older. Megestrol is indicated for use in adults 65 years or older.
is lasix the only diuretic drug for fluid build up in heart failure patients?,"Mild congestive heart failure is initially managed with a thiazide diuretic [11]. However, loop diuretics (e.g., furosemide, torsemide, or bumetanide) are the principal drugs used in the treatment of heart failure [22].",No reliable answer found.,Lasix is the only diuretic drug in a class of medications called diuretics. It works by decreasing the amount of water in the blood and reducing the amount of sodium in the urine.
where is heroin originated from,"Heroin is ... an opioid drug made from morphine, a natural substance in the seedpod of the Asian poppy plant.",No reliable answer found.,"Narcotics Anonymous (N.A.) is a non-profit, non-partisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan, nonpartisan,"
"pravastatin s9 orange how many ""grams?""",No answers,No reliable answer found.,"The recommended daily dosage for adults 65 years of age and older is 1 gram/day, and the recommended daily dosage is 1 gram/day."
what is vancomycin,"Vancomycin injection is used alone or in combination with other medications to treat certain serious infections such as endocarditis (infection of the heart lining and valves), peritonitis (inflammation of the lining of the abdomen), and infections of the lungs, skin, blood, and bones. Vancomycin injection is in a class of medications called glycopeptide antibiotics. It works by killing bacteria that cause infections.

Antibiotics such as vancomycin injection will not work for colds, flu, or other viral infections. Taking or using antibiotics when they are not needed increases your risk of getting an infection later that resists antibiotic treatment.",No reliable answer found.,"Vancomycin is a bacterium from the genus of ""Vancomycin"". It is a bacterium from the genus of ""Vancomycin"". It is a bacterium from the genus of ""Vancomycin""."
what is ciprodex?,Ciprofloxacin and dexamethasone otic is used to treat outer ear infections in adults and children and acute (suddenly occurring) middle ear infections in children with ear tubes. Ciprofloxacin is in a class of medications called quinolone antibiotics. Dexamethasone is in a class of medications called corticosteroids. The combination of ciprofloxacin and dexamethasone works by killing the bacteria that cause infection and reducing swelling in the ear.,No reliable answer found.,"Cipradex is a steroid medication used to treat a variety of conditions, including rheumatoid arthritis (arthritis caused by a breakdown of the lining of the joints). It works by decreasing the amount of uric acid in the blood."
