question,answer
what does memantine look like,"Color - ORANGE, Shape - CAPSULE (biconvex), Score - no score, Size - 10mm, Imprint Code - m5"
how does a 20 mcg bedford norton transdermal patch compared to say oxycodone what would be the equivalent,25 mcg fentanyl/hr = 40 mg oral / 20 mg IV oxycodone [from conversion chart]
what mg norco comes in,... NORCO® 5/325 ... NORCO® 7.5/325 ... NORCO® 10/325 …
vyvanse 10 what is all in this pill is it safe,"The following adverse reactions are discussed in greater detail in other sections of the labeling:

Known hypersensitivity to amphetamine products or other ingredients of VYVANSE [see CONTRAINDICATIONS (4)]
Hypertensive Crisis When Used Concomitantly with Monoamine Oxidase Inhibitors [see CONTRAINDICATIONS (4) and DRUG INTERACTIONS (7.1)]
Drug Dependence [see BOXED WARNING, WARNINGS AND PRECAUTIONS (5.1), and DRUG ABUSE AND DEPENDENCE (9.2, 9.3)]
Serious Cardiovascular Reactions [see WARNINGS AND PRECAUTIONS (5.2)]
Blood Pressure and Heart Rate Increases [see WARNINGS AND PRECAUTIONS (5.3)]
Psychiatric Adverse Reactions [see WARNINGS AND PRECAUTIONS (5.4)]
Suppression of Growth [see WARNINGS AND PRECAUTIONS (5.5)]
Peripheral Vasculopathy, including Raynaud's phenomenon [see WARNINGS AND PRECAUTIONS (5.6)]
Serotonin Syndrome [see WARNINGS AND PRECAUTIONS (5.7)]"
dtap/tdap/td vaccines how often is this due,"Routine Vaccination of Infants and Children, Adolescents, Pregnant Women, and Adults
CDC recommends diphtheria, tetanus, and acellular pertussis vaccination (DTaP for those younger than 7 years of age, and Tdap or Td for those 7 years or older) across the lifespan.

Infants and children should receive 5 doses of DTaP, usually administered at 2, 4, and 6 months, 15 through 18 months, and 4 through 6 years of age. DT can be used for infants and children who should not receive acellular pertussis-containing vaccines.
Adolescents should receive a single dose of Tdap, preferably at 11 to 12 years of age.
Pregnant women should receive a single dose of Tdap during every pregnancy, preferably at 27 through 36 weeks gestation. Tdap is recommended only in the immediate postpartum period before discharge from the hospital or birthing center for new mothers who have never received Tdap before or whose vaccination status is unknown.
Adults should receive a single dose of Td every 10 years. For adults who did not receive Tdap as an adolescent, a dose of Tdap can replace one of the 10-year Td booster doses. (Note: When feasible, Boostrix® should be used for adults 65 years and older; however, either vaccine product administered to a person 65 years or older may be used. Providers should not miss an opportunity to vaccinate persons aged 65 years and older with Tdap. Therefore, providers may administer the Tdap vaccine they have available.)"
how many mgs of seroquel does one take for sleep,"The recommended initial dose, titration, dose range and maximum SEROQUEL dose for each approved indication is displayed in Table 1. After initial dosing, adjustments can be made upwards or downwards"
"diclofenac sodium, 75 mg. how much is to much","Diclofenac sodium may be administered as 25 mg, 50 mg, or 75 mg delayed-release tablets. Regardless of the indication, the dosage of diclofenac should be individualized to the lowest effective dose to minimize adverse effects (see CLINICAL PHARMACOLOGY: Individualization of Dosage). Osteoarthritis: The recommended dosage is 100 to 150 mg/day in divided doses, 50 mg b.i.d. or t.i.d. or 75 mg b.i.d. Dosages above 150 mg/day have not been studied in patients with osteoarthritis. Rheumatoid Arthritis: The recommended dosage is 150 to 200 mg/day in divided doses, 50 mg t.i.d. or q.i.d., or 75 mg b.i.d. Dosages above 225 mg/day are not recommended in patients with rheumatoid arthritis. Ankylosing Spondylitis: The recommended dosage is 100 to 125 mg/day, administered as 25 mg q.i.d., with an extra 25 mg dose at bedtime if necessary. Dosages above 125 mg/day have not been studied in patients with ankylosing spondylitis."
can you take tamsulosin and ciprofloxacin ?,"INTERVENTIONS: Ciprofloxacin, 500 mg twice daily; tamsulosin, 0.4 mg once daily; a combination of the 2 drugs; or placebo. ... Treatments also did not differ significantly for any of the secondary outcomes."
"how long is mda or ecstasy take to leave your ""body?""","In terms of its metabolism, research suggests that MDMA taken by mouth reaches its maximal blood concentration in about two hours. As ecstasy is metabolized, it is secreted into the urine and can be present for up to two days."
how long will benzonatate last on the shelf,"There have been very few studies to attempt to ascertain how long medications are effective after their expiration date having been stored in the unopened original stock pharmacy bottle.  The pharmaceutical industry has not sponsored such a study due to the fact the expected results would severely hamper their sales. 

  SLEP (http://www.ofcaems.org/ds-Stability_Profiles.pdf) is a US military study that evaluated 122 products over several years time for stability.  The solid oral drugs (tablets, capsules) were tested over time for potency, impurities, water content, dissolution properties in liquid, and physical appearance by a FDA chemist.  The results showed the following were uniformly stable nearly 5 years after the expiration date:  Acetaminophen (Tylenol), Amoxicillin sodium tablets, Ampicillin, Benzonatate, Cephalexin (Keflex), Cimetadine (Tagamet), Ciprofloxacin (Cipro), codeine sulfate, doxycycline hyclate, enalapril maleate, erythromycin lactobionate, guaifenesin, mebendazole, naproxen (Alleve), oxacillin, potassium iodide, primaquine phosphate, pyridostigmine, sulfisoxazole, triamterene/hydrochlorothiazide."
